,brand,model,vin,владельцы,год выпуска,госномер,двигатель,коробка,кузов,налог,описание,привод,пробег,птс,руль,состояние,таможня,цвет,цена,обмен,гарантия,владение,кузов №,запас хода
625,audi,q5,,3 или более,2013,******|156,2.0 л / 225 л.с. / бензин,автоматическая,внедорожник 5 дв.,16 875 ₽ / год,"продaётcя audi - q5 b отличном cоcтoянии !!!  2013 год. выпуска, пробeг 135.000 км. цвeт - бeлый, aвтoмoбиль оснащён 4-х цилиндрoвым бeнзиновым двигателeм 2,0 л 225л.c/165 кbт tfsi и 8-ступeнчатoй аbтomаtическoй коpобкoй перeдач для пoлнoго приводa, что гapантируeт надeжнocть(в отличии oт других типов коpoбoк)экономию и динaмичноcть езды как в городском режиме, так и на трассе! салон в безупречном состояние, без заломов, не затёрт, руль и рычаг коробки так же как новый. акустическая система соnсеrт! круиз-контроль (grа)! электропривод и обогрев передних сидений! электрорегулировка зеркал! электродоводчик багажника! авs, электронная система курсовой устойчивости (еsр), непосредственный впрыск (fsi). установлен доп.  монитор (планшет) 11"" sамsung  тав 3, интернет, wi fi, просмотр видео при езде и много чего в добавок. летняя и зимняя(новые) резина на дисках. с пробегом 132.000 км. производили большое то, всё сделано как для себя. ничего  менять не надо - купил  и  поехал наслаждаться приятной  ездой  !!!! цена  1.455.000= разумный  торг возможен  у капота с покупателем.",полный,135 000 км,оригинал,левый,не требует ремонта,растаможен,белый,1 455 000 ₽,,,,,
626,mazda,mx_5,jmz**************,3 или более,2014,******|799,2.0 л / 160 л.с. / бензин,автоматическая,родстер,7 200 ₽ / год,"машина привлекает очень много внимания! выглядет на много дороже своей стоимости. вождение реальный кайф! тачка для удовольствия! лучшая игрушка! продаю потому что купил мотик и в целом мало использую. на машине проехал где-то 15000 км чисто по москве. ездил спокойно без дичи. зимую не в москве поэтому машина в этот период почти не эксплуатировалась. есть коцки по кузову вокруг ( можно зашлифовать )  дополнительно установлен прикольный выхлоп ( не колхоз ), резина зима 16 ( шипы ) и лето ( лето на кованных 18 дисках смотрится бомба ), парктроник передний и задний.  перекупам и салонам не беспокоить!",задний,45 000 км,оригинал,левый,не требует ремонта,растаможен,синий,1 250 000 ₽,,,3 года и 5 месяцев,,
627,chery,fora,xuv**************,3 или более,2007,******|126,2.0 л / 130 л.с. / бензин,механическая,седан,1 950 ₽ / год,автомобиль в отличном состоянии не битый не крашеный. комплектация люксовая кондиционер работает надо заправить ходовая не стучит не гремит мотор масло не ест новая зимняя резина по фото видно всё газа нет торг на месте смотра,передний,190 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,160 000 ₽,,,,,
628,kia,venga,tma**************,2 владельца,2011,******|197,1.6 л / 125 л.с. / бензин,автоматическая,компактвэн,3 125 ₽ / год,"продаем семейную любимицу. отличный вместительный компактвэн. покупали супруге в салоне киа с пробегом 17 тысяч км. далее автомобиль у нас более 5 лет. в основном супруга возила детей, садик, магазин и т.д. эксплуатация очень бережная. в техническом плане автомобиль на отлично. на расходники никогда не жалел денег. бензин только 95 шелл. на 100 тысяч км, сделано большое то: цепь грм, натяжители, успокоители, башмак, маслосъёмные колпачки, все фильтра, масло, колодки, и прочее прочее (все оригинал – более 45 тр.) салон очень чистый, сделана химчистка. в салоне никогда не курили. нет потёртостей , дыр и т.д. косметически есть царапина, и вмятина, ездила супруга) на лобовом стекле трещина по низу. пишу всё честно так как в целом за автомобиль не стыдно. хочется, чтобы машина попала в хорошие руки, и служила новому хозяину много лет. за ее исправность и надёжность я уверен. продаем в связи с пополнением в семье, и хотим купить минивэн.",передний,110 300 км,оригинал,левый,не требует ремонта,растаможен,коричневый,585 000 ₽,,,,,
629,kia,sorento,xwe**************,1 владелец,2018,******|152,2.2 л / 200 л.с. / дизель,автоматическая,внедорожник 5 дв.,9 000 ₽ / год,"продам автомобиль, куплен у официального диллера бцр на гагарина, там и обслуживался. пройдены все т.о. нареканий к автомобилю нет. весь в родной краске, без дтп. резина зима-лето. комплектация люкс. куплена 27 июня 2018 года. кожа не потертая. пробег родной. из плюшек: 8 стуменчатый автомат, сигналка с автозапуском, светодиодные фары (ночью освещает как днем), бесключевой доступ, автоматическая система открывания багажника подогрев всех сидений. из того что делал: на 60к заменил передние тормозные диски на оригинальные и колодки перед зад.  о машине: машина просто класс, ни разу не пожалел, что купил. надежная, расход маленький, дизель прет на ура!. я единственный собственник, владею с первого дня, вписан в птс, продаю только с переоформлением в гибдд.",полный,70 000 км,оригинал,левый,не требует ремонта,растаможен,серый,2 250 000 ₽,,,2 года и 9 месяцев,,
630,skoda,yeti,tmb**************,2 владельца,2011,******|29,1.8 л / 152 л.с. / бензин,роботизированная,внедорожник 5 дв.,7 600 ₽ / год,"отличное состояние. без дтп и окрасов. сервисная книжка со всеми пройденными то, два комплекта колёс.",полный,63 000 км,оригинал,левый,не требует ремонта,растаможен,коричневый,850 000 ₽,,,,,
631,vaz,2170,xta**************,3 или более,2007,******|196,1.6 л / 98 л.с. / бензин,механическая,седан,245 ₽ / год,"автомобиль в отличном состоянии! гнили и ржавчины нет, железо родное не переваренное. вложений не требует",передний,113 000 км,дубликат,левый,не требует ремонта,растаможен,бежевый,165 000 ₽,,,,,
632,nissan,teana,z8n**************,3 или более,2014,******|56,2.5 л / 173 л.с. / бензин,вариатор,седан,7 439 ₽ / год,"отличный автомобиль, который не требует вложений. все подробности по телефону",передний,129 000 км,оригинал,левый,не требует ремонта,растаможен,белый,850 000 ₽,,,,,
633,mercedes,glc_klasse_amg,wdc**************,2 владельца,2016,,3.0 л / 367 л.с. / бензин,автоматическая,внедорожник 5 дв.,55 050 ₽ / год,"если возник вопрос — где приобрести проверенный mercedes-benz glc amg с пробегом от официального дилера, сомнений нет — вам в рольф лахта | автомобили с пробегом. к вашим услугам:  ✅  более 150 автомобилей всех марок в наличии. ✅  выгодные цены от официального дилера рольф лахта. ✅  проверенные автомобили с пробегом, прошедшие комплексную техническую диагностику по 103 параметрам. а также криминалистическую и юридическую проверку. ✅  квалифицированная помощь специалистов при выборе б\у автомобиля. ✅  заключение о техническом состоянии автомобиля от официального дилера рольф. ✅  2 года гарантии на ваш автомобиль с момента покупки. ✅ ставка по автокредиту от 8,9% мы ждем вас каждый день с 09:00 до 22:00 по адресу: санкт-петербург, крестовский остров, старая деревня, стародеревенская улица, 3 обслуживание автомобиля исключительно у официального дилера. в серьезных дтп не участвовал. идеальное внешнее и техническое состояние. полный комплект ключей и документов.",полный,37 534 км,оригинал,левый,не требует ремонта,растаможен,белый,2 897 000 ₽,рассмотрю варианты,до января 2023,,,
634,toyota,camry,xw7**************,3 или более,2020,******|58,2.5 л / 181 л.с. / бензин,автоматическая,седан,8 145 ₽ / год,обслуживается у дилера . на гарантий. состояние нового авто . родной окрас 100 %. без сколов и царапин . резина зима лето r19. допы сигнализация с авто запуском . защиты картера . сетки . и так далее .,передний,14 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,2 000 000 ₽,,до июля 2023,8 месяцев,,
635,kia,sportage,kna**************,2 владельца,2012,******|15,2.0 л / 261 л.с. / бензин,автоматическая,внедорожник 5 дв.,39 150 ₽ / год,"двигатель 2л tgdi 261л.с., максимальная комплектация sportage r premium. по птс 150 л.с. машина до налоговая! фактически два владельца, первый собственник меняла фамилию, второй перерегистрировал машину на сына. машина привезена из кореи в 2013 году. в отличном состоянии, вложений не требует! без дтп и повреждений. обслуживание у дилера.",передний,98 100 км,оригинал,левый,не требует ремонта,растаможен,белый,1 045 000 ₽,рассмотрю варианты,,,,
636,kia,carnival,kna**************,1 владелец,2020,,2.2 л / 202 л.с. / дизель,автоматическая,минивэн,15 150 ₽ / год,"новый kia carnival 4 -го поколения. модель 2021 года в новом кузове! без пробега по россии.  доставлен жд доставкой с ю.кореи, пробег 117 км. в максимальной комплектации. возможен обмен на ваш автомобиль  авто кредит!, звоните этот вариант в наличии!",передний,120 км,оригинал,левый,не требует ремонта,растаможен,белый,3 950 000 ₽,,,,,
637,toyota,land_cruiser,jte**************,3 или более,2005,******|125,4.2 л / 131 л.с. / дизель,механическая,внедорожник 5 дв.,3 930 ₽ / год,"продам toyota land cruiser 105  птс оригинал - 3 хозяина категория ""в"" 3 блокировки   двс на отлично, не газит, не сапунит, масло не кидает мосты обслужены ходовая часть менялась на новую - амортизаторы, пружины, сайлентболки аккумуляторы оба новые сигнализация, камера заднего вида, webasto авто действительно в хорошем состоянии",полный,363 000 км,оригинал,левый,не требует ремонта,растаможен,серый,1 590 000 ₽,,,5 месяцев,,
638,toyota,tundra,5tb**************,3 или более,2008,******|54,5.7 л / 381 л.с. / бензин,автоматическая,пикап двойная кабина,,"linex, подвеска icon, тормозная система brembo, усиленные стабилизаторы, бак 200л, чаржер trd, компрессор для подкачки, 3 лебедки camup, рация. все переделки внесены в птс.",полный,162 000 км,оригинал,левый,не требует ремонта,растаможен,серый,5 000 000 ₽,рассмотрю варианты,,,,
639,mitsubishi,lancer,jmb**************,3 или более,2007,******|47,2.0 л / 150 л.с. / бензин,вариатор,седан,5 250 ₽ / год,"машина не свежая, есть косяки по лкп, бампер передний на фото видно.по салону тоже есть косячки, обслуживание делалось регулярно, замена масла каждые 7-10т. км, все вопросы по телефону реальному покупателю торг",передний,261 850 км,дубликат,левый,не требует ремонта,растаможен,чёрный,380 000 ₽,,,2 года и 6 месяцев,,
640,volkswagen,tiguan,xw8**************,1 владелец,2017,,1.4 л / 125 л.с. / бензин,механическая,внедорожник 5 дв.,3 125 ₽ / год,"ключавто | автомобили с пробегом — направление автохолдинга ключавто, специализирующееся на покупке и продаже автомобилей с пробегом по всей россии!  ✅ продажа; ☄️ обмен; ⏳ срочный выкуп;  ⚡ комиссия; ✈️ юридическая чистота сделки;  ☔ страховка осаго и каско на месте; ⭐ кредит по льготной ставке + скидка от 20 000 рублей до 70 000 рублей! ...............................................................................................................................................................",передний,82 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,1 385 000 ₽,рассмотрю варианты,,,,
641,volkswagen,tiguan,xw8**************,1 владелец,2018,,1.4 л / 150 л.с. / бензин,роботизированная,внедорожник 5 дв.,3 750 ₽ / год,"ключавто | автомобили с пробегом — направление автохолдинга ключавто, специализирующееся на покупке и продаже автомобилей с пробегом по всей россии! ✅ продажа; ☄️ обмен; ⏳ срочный выкуп; ⚡ комиссия; ✈️ юридическая чистота сделки; ☔ страховка осаго и каско на месте; ⭐ кредит по льготной ставке + скидка от 20 000 рублей до 50 000 рублей! ключавто | автомобили с пробегом – это всегда выгодно и надёжно! наши автосалоны автомобилей с пробегом открыты в 18 городах: краснодаре, минеральных водах, ставрополе, сочи, ростове-на-дону, новороссийске, горячем ключе, перми, челябинске, новосибирске, екатеринбурге, воронеже, белгороде, москве, тюмени, санкт-петербурге, курске и волгограде. *финансовые услуги предоставляют банки: пао банк втб, пао «совкомбанк», ооо «сетелем банк».",полный,42 000 км,оригинал,левый,не требует ремонта,растаможен,синий,1 864 000 ₽,рассмотрю варианты,,,,
642,cadillac,cts,xwf**************,2 владельца,2011,******|152,3.6 л / 311 л.с. / бензин,автоматическая,седан,46 650 ₽ / год,"живой cts, в эксплуатации с ноября 2011 года, в моих руках с сентября 19 года. проблем с цепями нет, расхода масла нет, тормоза не бьют, двери открываются. страховых расчетов нет, все ключи, два комплекта резины, окрасы только косметические. в авто работает все, в птф установлены линзы - светят как ближний, в ближнем новые лампы. требует переборки левая фара (фара целая, но потеет). продавать не тороплюсь, все вопросы по телефону.",полный,157 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,840 000 ₽,,,6 месяцев,,
643,land_rover,discovery,sal**************,2 владельца,2011,******|790,2.7 л / 190 л.с. / дизель,автоматическая,внедорожник 5 дв.,9 310 ₽ / год,"автомобиль в отличном техническом состоянии,без окрасов и дтп,абсолютно все работает,своевременно обслужена,родной пробег!!!резина зима,лето.обмен.кредит!!!",полный,133 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,1 235 000 ₽,рассмотрю варианты,,,,
644,peugeot,307,vf3**************,1 владелец,2006,******|177,1.6 л / 109 л.с. / бензин,автоматическая,хэтчбек 3 дв.,3 434 ₽ / год,"продам автoмoбиль peugeot 307, автo 2006 годa выпускa, первая регистрация в августе 2006 года, цвет черный, коpoбкa автомат, мотор 1.6 (109 лс). 1 владелец с момента покупки новой в автосалоне! авто без дтп, птс оригинал. реальный пробег 92 тыс. км (не скручен). комплектация с климат-контролем, штатная музыкой с управлением на рулей, кожаный руль и тд",передний,92 400 км,оригинал,левый,не требует ремонта,растаможен,чёрный,308 000 ₽,,,,,
645,ford,focus,x9f**************,3 или более,2013,******|790,1.6 л / 125 л.с. / бензин,механическая,хэтчбек 5 дв.,3 125 ₽ / год,"авто на отличном ходу сел и поехал, ни чего не стучит не гремит. своевременное обслуживание, заменены все жидкости. купили жене ездить на работу, но механика не её. зимний пакет. возможен обмен на что нибудь с автоматом, с моей доплатой или с вашей",передний,178 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,500 000 ₽,рассмотрю варианты,,,,
646,volkswagen,passat_cc,wvw**************,3 или более,2010,******|190,1.8 л / 152 л.с. / бензин,роботизированная,седан,6 840 ₽ / год,"автомобиль в очень хорошем состоянии.в дтп никогда не участвовал.кузов весь ровный, без жучков и царапин.коробка в идеальном состоянии , переключает плавно и без рывков.двигатель работает отлично, замена масла производилась каждые 8тыс.км.комплектация хорошая.по ходовой полностью обслуженная, ничего не гремит и не стучит.салон ухоженный, кожа не затерта,в машине не курили.торг разумный возможен!",передний,99 500 км,оригинал,левый,не требует ремонта,растаможен,чёрный,568 000 ₽,,,,,
647,kia,venga,xwe**************,3 или более,2011,******|136,1.6 л / 125 л.с. / бензин,автоматическая,компактвэн,3 750 ₽ / год,продаётся от собственника. машина в отличном состоянии. максимальная комплектация. кузов. мотор. акпп. подвеска. салон. все в отличном состоянии.  стоят новые шипованные колеса.  в подарок отдаются новые летние. два ключа. два брелока. сигнализация с тозапуском.  покупателю все расскажем. когда и что меняли и делали. есть подкрасы. бампера. не критично.,передний,129 430 км,дубликат,левый,не требует ремонта,растаможен,коричневый,575 000 ₽,,,1 год и 3 месяца,,
648,citroen,berlingo,vf7**************,3 или более,2012,,1.6 л / 120 л.с. / бензин,механическая,компактвэн,3 000 ₽ / год,"вашему вниманию представляем автомобиль с пробегом citroen berlingo автомобиль приобретался у официального дилера. птс оригинал.  мультимедиа: aux салон: ткань, 5 мест, подогрев сидений комфорт: электростеклоподъемники передние, климат-контроль автомобиль прошел предпродажную подготовку. готов к эксплуатации. автосалон ""proffit"" гарантирует: — оригинальный пробег; — 100 % юридическую чистоту автомобиля в письменном виде; — автомобили прошли комплексную предпродажную подготовку; — при обмене на ваш автомобиль действуют скидка до 50 000 руб.; — есть возможность провести тест-драйв; — выкуп вашего автомобиля по рыночной цене. автокредитование: — первоначальный взнос от 0%; — минимальный пакет документов – паспорт и вод. удостоверение; — досрочное погашение без штрафов и комиссий; — каско – необязательно. сотрудничаем с 15 аккредитованными и сертифицированными банками рф, среднее время ожидания решения банка 30–50 минут. автомобиль доступен к просмотру в крытом и освещенном помещении. ждем вас с 9:00 до 21:00, каждый день без перерыва и выходных. пешая доступность от метро беломорская (300 метров). для покупателей с региона автосалон ""proffit"" дарит бонусы: — при покупке этого автомобиля в кредит - оплата проезда (только по билетам) для покупателей с региона; — помощь в постановке на учет в гибдд; — страховка и диагностическая карта по вашему коэффициенту. в нашем автосалоне ""proffit"" большой выбор автомобилей разных классов – от бюджетных семейных автомобилей до внедорожников. индивидуальный подход к каждому покупателю и гарантированные подарки, бонусы и скидки! мы позаботимся сделать вашу покупку более приятной и выгодной!",передний,136 000 км,оригинал,левый,не требует ремонта,растаможен,белый,499 000 ₽,рассмотрю варианты,,,,
649,volkswagen,tiguan,xw8**************,1 владелец,2019,******|799,1.4 л / 150 л.с. / бензин,роботизированная,внедорожник 5 дв.,5 250 ₽ / год,машина в идеальном состоянии. комплект летних шин в подарок. пройдены все то. своевременное обслуживание. непрокуренный салон. сервисная книжка. не участвовала в дтп.,полный,33 009 км,оригинал,левый,не требует ремонта,растаможен,чёрный,2 074 000 ₽,,до сентября 2022,1 год и 5 месяцев,,
650,volvo,s80,yv1**************,3 или более,2011,******|799,2.5 л / 231 л.с. / бензин,автоматическая,седан,17 325 ₽ / год,"машина в отличном состоянии.  пробег 100000% реальный.  обслуживались до 140 тысяч у дилера.  по кузову крашены только 2 передних крыла ( без капота!!!) крылья не снимались!!!! косметический окрас!!!!  могу показать даже по видео.  дтп не было ( притертость).  по факту на машине 2 владельца.  первый и второй ( муж и жена). видно по фамилии в птс. птс оригинал!  техническое состояние идеальное, звоните, расскажу. салон в отличном состоянии.  салоны и площадки идут лесом. продам сам.  торг есть.",передний,153 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,1 040 000 ₽,,,,,
651,renault,logan,x7l**************,1 владелец,2013,******|196,1.4 л / 75 л.с. / бензин,механическая,седан,188 ₽ / год,"автомобиль в отличном состоянии, салон ухоженный не прокуренный, хорошая комплектация гур,  передние электро стекло подъёмники, подушка безопасности, за автомобилем следили все т.о. пройдены, два комплекта ключей, все стекла родные, птс родной, один хозяин, покупался автомобиль в автосалоне, автомобиль технически исправный с документами полный порядок, юридически чистый.",передний,137 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,280 000 ₽,,,,,
652,toyota,land_cruiser,jtm**************,2 владельца,2015,******|72,4.5 л / 235 л.с. / дизель,автоматическая,внедорожник 5 дв.,12 925 ₽ / год,куплен и обслуживается у официального дилера. крашеных деталей нет. в отличном состоянии.,полный,111 111 км,оригинал,левый,не требует ремонта,растаможен,белый,3 450 000 ₽,,,,,
653,kia,optima,xwe**************,3 или более,2019,******|198,2.0 л / 150 л.с. / бензин,механическая,седан,1 500 ₽ / год,приобретал в декабре стоит газовое оборудование. все повреждения указал. на фото видно авто реаниматологов прошу не беспокоить.,передний,58 000 км,дубликат,левый,не требует ремонта,растаможен,белый,1 150 000 ₽,,,,,
654,citroen,xsara,vf7**************,3 или более,2000,******|102,2.0 л / 90 л.с. / дизель,механическая,универсал 5 дв.,1 800 ₽ / год,"кузов без гнили и ржавчины окрашен  раптором, двс и мкпп работают как часики, расход топлива 4-6л на 100км. в комплектации: установлен подогрев двс на 220в, эсп передние, цз, гур, кондиционер, лифт передних сидений, электропривод зеркал, регулировка руля по высоте, подушки безопасности. салон чистый, просторный, велюровый. огромный багажник.",передний,380 000 км,оригинал,левый,не требует ремонта,растаможен,голубой,80 000 ₽,,,,,
655,hyundai,santa_fe,xwe**************,1 владелец,2019,,2.4 л / 188 л.с. / бензин,автоматическая,внедорожник 5 дв.,9 400 ₽ / год,"рольф пулково | автомобили с пробегом — место, куда попадают лучшие из всех автомобилей с пробегом. в этом месяце у вас есть замечательная возможность приобрести hyundai santa fe на особых условиях. этот автомобиль уже прошел криминалистическую и юридическую проверку, а также комплексную диагностику. при покупке вы получаете лист с официальным заключением о состоянии автомобиля. специально для вас: ✅ более 400 автомобилей всех марок с гарантией официального дилера рольф. ✅ выгода при покупке в кредит до 3% от стоимости автомобиля. ✅ кредитование по ставке от 6,9% годовых (представлены все банки-партнеры). ✅ преимущество при трейд-ин до 50 000 рублей (под программу обмена подходят даже кредитные автомобили). ✅ услуга автоподбор за наш счет. рольф пулково | автомобили с пробегом. ⭐ лучший дилер по продажам автомобилей с пробегом в россии по данным автобизнесревю. команда рольф пулково ждёт вас ежедневно с 9:00 до 22:00 по адресу: санкт-петербург, стартовая улица, 4.",полный,30 500 км,оригинал,левый,не требует ремонта,растаможен,бежевый,2 097 000 ₽,рассмотрю варианты,до июня 2022,,,
656,mitsubishi,space_star,mmc**************,2 владельца,2017,,1.0 л / 71 л.с. / бензин,механическая,хэтчбек 5 дв.,,"сервисные документы, 2 ключа. серво руль, 6 airbag, датчики давления шин, эл/зеркала, передние эл/стеклоподъемники, abs, cd/mp3-магнитола, usb, bluetooth, aux, громкая связь.",передний,37 000 км,оригинал,левый,не требует ремонта,растаможен,белый,529 421 ₽,,,6 месяцев,,
657,lifan,solano,x9w**************,1 владелец,2011,******|152,1.6 л / 106 л.с. / бензин,механическая,седан,3 339 ₽ / год,"продаётся надежный, не прихотливый, комфортный и красивый по дизайну автомобиль! состояние близкое к новому! один хозяин, без дтп, родной пробег, люксовая комплектация: усилитель руля, кондиционер, электростеклоподъёмники, подогревы сидений, электрозеркала, салон кожа, противотуманки, парктроники, сигнализация с автозапуском!!! авто внешне и технически в отличном состоянии, обслужен и вложений не требует!!! приезжайте и убедитесь сами!!! автосалонам и помощникам просьба не беспокоить!!!",передний,43 000 км,оригинал,левый,не требует ремонта,растаможен,чёрный,289 000 ₽,,,,,
658,vaz,2107,xta**************,3 или более,2002,******|42,1.6 л / 75 л.с. / бензин,механическая,седан,413 ₽ / год,на полном ходу. возможен обмен,задний,100 000 км,оригинал,левый,не требует ремонта,растаможен,синий,33 000 ₽,,,,,
659,kia,rio,z94**************,1 владелец,2018,*****|77,1.4 л / 100 л.с. / бензин,механическая,седан,1 200 ₽ / год,"использовалась в такси пробег реальный , без серьёзных дтп , зимняя резина в подарок.без торга.",передний,250 000 км,оригинал,левый,не требует ремонта,растаможен,жёлтый,540 000 ₽,,,2 года и 8 месяцев,,
660,mazda,axela,,3 или более,2004,******|124,1.5 л / 114 л.с. / бензин,механическая,хэтчбек 5 дв.,1 653 ₽ / год,"красивая акселлка в хорошем состоянии. цвет 3-х слойный перламутр. автомобиль после полной полировки. птс оригинал. по кузову несколько перекрасов, всё остальное в родном окрасе. стёкла все заводские. по технике никаких нареканий нет. в январе этого года установлен контрактный мотор с пробегом в 40 тыс км. салон чистый, приятный. ксеноновые фары с корректором.  на данный момент состояние-сел и поехал. в собственности с лета 2019 года. торг минимальный, на замену лобового стекла.",передний,303 000 км,оригинал,правый,не требует ремонта,растаможен,красный,355 000 ₽,,,,bk5p-***********,
661,kia,sportage,xwe**************,1 владелец,2016,,2.0 л / 150 л.с. / бензин,автоматическая,внедорожник 5 дв.,5 250 ₽ / год,"рольф пулково | автомобили с пробегом — место, куда попадают лучшие из всех автомобилей с пробегом. в этом месяце у вас есть замечательная возможность приобрести kia sportage на особых условиях. этот автомобиль уже прошел криминалистическую и юридическую проверку, а также комплексную диагностику. при покупке вы получаете лист с официальным заключением о состоянии автомобиля. специально для вас: ✅ более 400 автомобилей всех марок с гарантией официального дилера рольф. ✅ выгода при покупке в кредит до 3% от стоимости автомобиля. ✅ кредитование по ставке от 6,9% годовых (представлены все банки-партнеры). ✅ преимущество при трейд-ин до 50 000 рублей (под программу обмена подходят даже кредитные автомобили). ✅ услуга автоподбор за наш счет. рольф пулково | автомобили с пробегом. ⭐ лучший дилер по продажам автомобилей с пробегом в россии по данным автобизнесревю. команда рольф пулково ждёт вас ежедневно с 9:00 до 22:00 по адресу: санкт-петербург, стартовая улица, 4.",полный,109 390 км,оригинал,левый,не требует ремонта,растаможен,коричневый,1 267 000 ₽,рассмотрю варианты,до июня 2021,,,
662,mercedes,e_klasse,z9m**************,1 владелец,2019,******|93,2.0 л / 197 л.с. / бензин,автоматическая,седан,9 850 ₽ / год,"идеальное состояние, один хозяин, сервисный контракт 4 года, то1 сделано, в дтп не было, продаю потому что для 3х детей маленькая :)",задний,15 000 км,оригинал,левый,не требует ремонта,растаможен,серебристый,3 200 000 ₽,,до января 2024,1 год и 3 месяца,,
663,mercedes,gla_class,wdc**************,1 владелец,2014,******|93,2.0 л / 211 л.с. / бензин,роботизированная,внедорожник 5 дв.,15 825 ₽ / год,"одна из моих любимых малышек.юркая,маневренная,комфортна и внутри и в управлении.хороша собой.отличная комплектация.не бита,не крашена.хозяйка одна,в машине не кушали не курили-отсутствие посторонних запахов.",полный,33 700 км,оригинал,левый,не требует ремонта,растаможен,коричневый,1 850 000 ₽,,,,,
664,hyundai,creta,z94**************,2 владельца,2017,******|790,1.6 л / 121 л.с. / бензин,автоматическая,внедорожник 5 дв.,3 025 ₽ / год,"автомобиль в идеальном состоянии, есть один косметический окрас все остальное в родном окрасе. на гарантии, одним словом как новая! все то пройдены своевременно. сервисная книжка, два комплекта ключа, птс оригинал, хорошая комплектация, сигнализация с автозапуском, круиз контроль, двух зонный климат контроль, обогрев руля, обогрев зеркал, обогрев лобового и многое другое. хранится на утеплённом подземном паркинге. в подарок два комплекта колес, зима и лето, оригинальный коврик в багажник.",полный,45 000 км,оригинал,левый,не требует ремонта,растаможен,серый,1 180 000 ₽,,до июля 2023,3 года и 3 месяца,,
665,vaz,vesta,xta**************,2 владельца,2017,******|147,1.6 л / 106 л.с. / бензин,механическая,седан,1 060 ₽ / год,"в идеальном состоянии. птс оригинал, полный комплект ключей и документов. родной пробег 88400км. кузов весь в родной краске 100%. любые проверки. за всё время один хозяин, вторая хозяйка женщина, (покупала на месяц, пока своя машина была на ремонте). кондиционер, эл.усилитель руля, подушки безопасности, система курсовой устойчивости, абс, магнитола с монитором, подогревы зеркал и сидений, подлокотник бар, парктроники и т.д.  бартер не предлагать!!!  перекупам не беспокоить!!!  фото документов или вин код отправлю по запросу, если кто хочет пробить по автотеке. машина находится на пр.имама шамиля 13.",передний,88 000 км,оригинал,левый,не требует ремонта,растаможен,коричневый,548 000 ₽,,,1 месяц,,
